school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, address_line_2, postal_state, school_no,longitude, address_town, education_sector, full_phone_no,latitude, entity_type
Secondary,735,3121,Melbourne Girls College,Yarra Boulevard,O,null,RICHMOND,VIC,3121,Yarra (C),Yarra Boulevard,null,VIC,8819,145.01433,Richmond,Government,03 9428 8955,-37.82251,1
Secondary,421,3107,Templestowe College,7 Cypress Avenue,O,null,TEMPLESTOWE LOWER,VIC,3107,Manningham (C),7 Cypress Avenue,null,VIC,8823,145.12183,Templestowe Lower,Government,03 9850 6333,-37.76747,1
Secondary,217,3199,McClelland Secondary College,Belar Avenue,O,null,FRANKSTON,VIC,3199,Frankston (C),Belar Avenue,null,VIC,8835,145.15836,Frankston,Government,03 9789 4544,-38.14667,1
Secondary,433,3011,Footscray City College,1 Kinnear Street,O,null,FOOTSCRAY,VIC,3011,Maribyrnong (C),1 Kinnear Street,null,VIC,8836,144.89401,Footscray,Government,03 8387 1500,-37.79107,1
Language,433,3019,Western English Language School,P O Box 1096,O,null,ROBINSON,VIC,3019,Maribyrnong (C),46 South Road,null,VIC,8838,144.85403,Braybrook,Government,03 9311 9325,-37.791,1
Pri/Sec,161,3805,Narre Warren South P-12 College,Amberly Park Drive,O,null,NARRE WARREN STH,VIC,3805,Casey (C),Amberly Park Drive,null,VIC,8839,145.28574,Narre Warren Sth,Government,03 9704 3333,-38.04991,1
Pri/Sec,707,3752,The Lakes South Morang P-9 School,P O Box 207,O,null,South Morang,VIC,3752,Whittlesea (C),80 Jardier Terrace,null,VIC,8846,145.0767,South Morang,Government,03 9401 3919,-37.6346,1
Secondary,726,3030,Point Cook Senior Secondary College,P O Box 6520,O,null,Point Cook,VIC,3030,Wyndham (C),Cnr Boardwalk Blvd & Bergamot,null,VIC,8847,144.73282,Point Cook,Government,03 9395 9271,-37.88672,1
Pri/Sec,726,3024,Manor Lakes P-12 College,P O Box 2348,O,null,Werribee,VIC,3030,Wyndham (C),2-50 Minindee Road,null,VIC,8848,144.60228,Wyndham Vale,Government,03 9741 4202,-37.87416,1
Secondary,525,3058,Coburg High School,P O Box 162,O,null,Coburg,VIC,3058,Moreland (C),189 Urquhart Street,null,VIC,8849,144.9764,Coburg,Government,03 9353 1700,-37.74118,1
