school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type,y,x
Primary,698,3133,Holy Saviour Parish School,765 Highbury Road,O,null,VERMONT SOUTH,VIC,3133,Whitehorse (C),765 Highbury Road,1992,null,1751,VIC,VERMONT SOUTH,Catholic,03 9803 6828,2,-37.862336,145.175038
Primary,707,3074,St Clare's School,Harbard Street,O,null,THOMASTOWN WEST,VIC,3074,Whittlesea (C),Harbard Street,1993,null,1752,VIC,THOMASTOWN WEST,Catholic,03 9465 8535,2,-37.67775056,144.9977174
Primary,327,3429,St Anne's School,PO Box 264,O,null,SUNBURY,VIC,3429,Hume (C),16 Stewarts Lane,1995,null,1758,VIC,SUNBURY,Catholic,03 9744 3055,2,-37.568388,144.717457
Primary,421,3111,Our Lady of the Pines School,77 Carbine Street,O,null,DONVALE,VIC,3111,Manningham (C),77 Carbine Street,1996,null,1759,VIC,DONVALE,Catholic,03 9842 2991,2,-37.774442,145.177211
Primary,217,3910,St Jude's School,PO Box 4063,O,null,LANGWARRIN,VIC,3910,Frankston (C),30 Warrandyte Road,1997,null,1760,VIC,LANGWARRIN,Catholic,03 9789 7581,2,-38.155275,145.191109
Primary,118,3021,St Paul's Kealba Catholic School,230-240 Sunshine Avenue,O,null,KEALBA,VIC,3021,Brimbank (C),230-240 Sunshine Avenue,1998,null,1761,VIC,KEALBA,Catholic,03 9366 6033,2,-37.733736,144.81963
Primary,267,3175,St Elizabeth's School,111 Bakers Road,O,null,DANDENONG NORTH,VIC,3175,Greater Dandenong (C),111 Bakers Road,1999,null,1762,VIC,DANDENONG NORTH,Catholic,03 9795 5258,2,-37.946321,145.198878
Primary,189,3073,St Joseph the Worker School,79 Wilson Boulevard,O,null,RESERVOIR NORTH,VIC,3073,Darebin (C),79 Wilson Boulevard,2000,null,1763,VIC,RESERVOIR NORTH,Catholic,03 9469 7800,2,-37.702216,144.99292
Primary,118,3021,Resurrection School,51 Gum Road,O,null,KINGS PARK,VIC,3021,Brimbank (C),51 Gum Road,2001,null,1764,VIC,KINGS PARK,Catholic,03 9366 7022,2,-37.736301,144.775394
Secondary,118,3021,Catholic Regional College,PO Box 252,O,null,ST ALBANS,VIC,3021,Brimbank (C),10 Theodore Street,2002,null,1765,VIC,ST ALBANS,Catholic,03 9366 2544,2,-37.738892,144.799086
Secondary,145,3807,St Francis Xavier College,PO Box 85,O,null,BEACONSFIELD,VIC,3807,Cardinia (S),4 Beaconsfield Avenue,2003,null,1766,VIC,BEACONSFIELD,Catholic,03 9707 3111,2,-38.052002,145.373106
Primary,66,3088,Plenty Valley International Montessori School,315 Aqueduct Rd,O,null,ST HELENA,VIC,3088,Banyule (C),315 Aqueduct Rd,2005,null,1770,VIC,ST HELENA,Independent,03 9438 3202,2,-37.68407,145.137091
Pri/Sec,367,3152,Waverley Christian College,PO Box 395,O,null,VERMONT,VIC,3133,Knox (C),1248 High Street Road,2006,null,1771,VIC,WANTIRNA SOUTH,Independent,03 9871 8600,2,-37.880135,145.215299
Pri/Sec,635,3143,The King David School,PO Box 286,O,null,MALVERN,VIC,3144,Stonnington (C),517-519 Orrong Road,2007,null,1773,VIC,ARMADALE,Independent,03 9529 5277,2,-37.858226,145.010495
Pri/Sec,726,3029,Westbourne Grammar School,Post Office Box 37,O,null,WERRIBEE,VIC,3030,Wyndham (C),300 Sayers Rd,2008,null,1775,VIC,TRUGANINA,Independent,03 9731 9444,2,-37.850843,144.724898
Primary,118,3036,St Augustine's Primary School,Augustine's Way,O,null,KEILOR,VIC,3036,Brimbank (C),Augustine's Way,2010,null,1779,VIC,KEILOR,Catholic,03 9336 4294,2,-37.710633,144.820517
Primary,465,3338,St Anthony's School,PO Box 2312,O,null,MELTON SOUTH,VIC,3338,Melton (C),Wilson Road,2011,null,1780,VIC,MELTON SOUTH,Catholic,03 9743 1401,2,-37.709657,144.572897
Primary,571,3088,St Thomas the Apostle School,251 Diamond Creek Road,O,null,GREENSBOROUGH NORTH,VIC,3088,Nillumbik (S),251 Diamond Creek Road,2012,null,1781,VIC,GREENSBOROUGH NORTH,Catholic,03 9434 4565,2,-37.68218852,145.1191059
