school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type,y,x
Primary,421,3113,Warrandyte Primary School,5-11 Forbes Street,O,null,WARRANDYTE,VIC,3113,Manningham (C),5-11 Forbes Street,5,null,12,VIC,Warrandyte,Government,03 9844 3537,1,-37.742675,145.21398
Primary,161,3806,Berwick Primary School,37 Fairholme Boulevard,O,null,Berwick,VIC,3806,Casey (C),37 Fairholme Boulevard,10,null,40,VIC,Berwick,Government,03 9707 1026,1,-38.044178,145.353743
Primary,91,3192,Cheltenham Primary School,231 Charman Road,O,null,CHELTENHAM,VIC,3192,Bayside (C),231 Charman Road,12,null,84,VIC,Cheltenham,Government,03 8585 3200,1,-37.968608,145.054635
Primary,311,3015,Newport Lakes Primary School,Elizabeth Street,O,null,NEWPORT,VIC,3015,Hobsons Bay (C),Elizabeth Street,14,null,113,VIC,Newport,Government,03 9391 8942,1,-37.838424,144.878345
Primary,571,3761,St Andrews Primary School,Caledonia Street,O,null,ST ANDREWS,VIC,3761,Nillumbik (S),Caledonia Street,21,null,128,VIC,St Andrews,Government,03 9710 1255,1,-37.602316,145.269827
Primary,534,3936,Dromana Primary School,P O Box 166,O,null,DROMANA,VIC,3936,Mornington Peninsula (S),Mcculloch Street,23,null,184,VIC,Dromana,Government,03 5987 2367,1,-38.339644,144.959653
Primary,421,3108,Doncaster Primary School,2 - 12 Council Street,O,null,DONCASTER,VIC,3108,Manningham (C),2 - 12 Council Street,24,null,197,VIC,Doncaster,Government,03 9848 1122,1,-37.786804,145.129673
Primary,571,3095,Eltham Primary School,DALTON STREET,O,null,ELTHAM,VIC,3095,Nillumbik (S),Dalton Street,26,null,209,VIC,Eltham,Government,03 9439 9374,1,-37.72498353,145.1478042
Primary,161,3803,Hallam Primary School,24 Harmer Road,O,null,HALLAM,VIC,3803,Casey (C),24 Harmer Road,29,null,244,VIC,Hallam,Government,03 9703 1536,1,-38.001575,145.258493
Primary,506,3031,Flemington Primary School,P O Box 7,O,null,FLEMINGTON,VIC,3031,Moonee Valley (C),Mt Alexander Road,30,null,250,VIC,Flemington,Government,03 9376 7137,1,-37.781393,144.933597
Primary,433,3011,Footscray Primary School,P O Box 6019,O,null,WEST FOOTSCRAY,VIC,3012,Maribyrnong (C),Cnr Geelong Road & Barkly St,31,null,253,VIC,Footscray,Government,03 9687 1910,1,-37.798383,144.892669
Primary,413,3437,Gisborne Primary School,35 FISHER STREET,O,null,GISBORNE,VIC,3437,Macedon Ranges (S),35 Fisher Street,32,null,262,VIC,Gisborne,Government,03 5428 2022,1,-37.4908591,144.5884416
Primary,91,3191,Sandringham Primary School,31 Bamfield Street,O,null,SANDRINGHAM,VIC,3191,Bayside (C),31 Bamfield Street,34,null,267,VIC,Sandringham,Government,03 9598 1488,1,-37.947631,145.009306
Primary,111,3122,Hawthorn West Primary School,Cnr Wood Street & Burwood Road,O,null,HAWTHORN,VIC,3122,Boroondara (C),Cnr Wood Street & Burwood Road,37,null,293,VIC,Hawthorn,Government,03 9818 2233,1,-37.820112,145.018377
Primary,66,3084,Heidelberg Primary School,P O Box 330,O,null,HEIDELBERG,VIC,3084,Banyule (C),Cape Street,38,null,294,VIC,Heidelberg,Government,03 9457 2259,1,-37.754705,145.067799
Primary,413,3441,Mount Macedon Primary School,641 Mount Macedon Road,O,null,MOUNT MACEDON,VIC,3441,Macedon Ranges (S),641 Mount Macedon Road,50,null,415,VIC,Mount Macedon,Government,03 5426 1446,1,-37.40479379,144.5841275
Primary,465,3337,Melton Primary School,P O Box 512,O,null,MELTON,VIC,3337,Melton (C),Unitt Street,52,null,430,VIC,Melton,Government,03 9743 5335,1,-37.681081,144.58647
Primary,735,3065,Fitzroy Primary School,P O Box 150,O,null,FITZROY,VIC,3065,Yarra (C),319 George Street,53,null,450,VIC,Fitzroy,Government,03 9417 4222,1,-37.799603,144.981511
Primary,698,3151,Burwood East Primary School,P O Box 374,O,null,GLEN WAVERLEY,VIC,3150,Whitehorse (C),Cnr Blackburn And Highbury Rds,56,null,454,VIC,Burwood East,Government,03 9802 8618,1,-37.859779,145.152209
Primary,413,3438,New Gisborne Primary School,239 Station Road,O,null,NEW GISBORNE,VIC,3438,Macedon Ranges (S),239 Station Road,57,null,467,VIC,New Gisborne,Government,03 5428 2232,1,-37.46288785,144.596579
Primary,506,3040,Essendon Primary School,38 Raleigh Street,O,null,ESSENDON,VIC,3040,Moonee Valley (C),38 Raleigh Street,59,null,483,VIC,Essendon,Government,03 9370 7816,1,-37.753095,144.921042
Primary,525,3058,Coburg Primary School,92 Bell Street,O,null,COBURG,VIC,3058,Moreland (C),92 Bell Street,60,null,484,VIC,Coburg,Government,03 9354 9332,1,-37.741184,144.968026
Primary,707,3754,Mernda Primary School,P O Box 222,O,null,MERNDA,VIC,3754,Whittlesea (C),25 Everton Drive,63,null,488,VIC,Mernda,Government,03 9717 7900,1,-37.59459504,145.0922429
Primary,413,3431,Riddells Creek Primary School,P O Box 255,O,null,RIDDELLS CREEK,VIC,3431,Macedon Ranges (S),69-77 Main Road,67,null,528,VIC,Riddells Creek,Government,03 5428 7277,1,-37.46122119,144.6797752
Primary,460,3141,South Yarra Primary School,601 Punt Road,O,null,SOUTH YARRA,VIC,3141,Melbourne (C),601 Punt Road,72,null,583,VIC,South Yarra,Government,03 9866 3424,1,-37.841353,144.985619
Primary,707,3074,Thomastown Primary School,6 Spring Street,O,null,THOMASTOWN,VIC,3074,Whittlesea (C),6 Spring Street,77,null,631,VIC,Thomastown,Government,03 9465 2225,1,-37.68238797,145.0117394
Primary,726,3030,Werribee Primary School,P O Box 432,O,null,WERRIBEE,VIC,3030,Wyndham (C),2 Deutgam Street,82,null,649,VIC,Werribee,Government,03 9742 6659,1,-37.906703,144.65911
Primary,485,3756,Wallan Primary School,P O Box 74,O,null,WALLAN,VIC,3756,Mitchell (S),46-48 Queen Street,85,null,664,VIC,Wallan,Government,03 5783 1232,1,-37.411465,144.975036
Primary,515,3340,Coimadai Primary School,86 Bennetts Lane,O,null,COIMADAI,VIC,3340,Moorabool (S),86 Bennetts Lane,92,null,716,VIC,Coimadai,Government,03 5367 2907,1,-37.6137926,144.478308
Primary,497,3168,Clayton North Primary School,1714 Dandenong Road,O,null,CLAYTON,VIC,3168,Monash (C),1714 Dandenong Road,94,null,734,VIC,Clayton,Government,03 9544 1522,1,-37.912036,145.122753
Primary,189,3072,Preston South Primary School,P O Box 1527,O,null,PRESTON,VIC,3072,Darebin (C),56B Hotham Street,107,null,824,VIC,Preston,Government,03 9484 1544,1,-37.747867,145.007447
Primary,343,3195,Mordialloc Beach Primary School,58 Barkly Street,O,null,Mordialloc,VIC,3195,Kingston (C),58 Barkly Street,110,null,846,VIC,Mordialloc,Government,03 9580 1468,1,-38.005582,145.088809
Primary,745,3777,Healesville Primary School,P O Box 222,O,null,HEALESVILLE,VIC,3777,Yarra Ranges (S),2 View Street,111,null,849,VIC,Healesville,Government,03 5962 4053,1,-37.65713287,145.5160425
Primary,275,3223,St Leonards Primary School,1341 Murradoc Road,O,null,ST LEONARDS,VIC,3223,Greater Geelong (C),1341 Murradoc Road,120,null,866,VIC,St Leonards,Government,03 5257 1460,1,-38.17196,144.715034
Primary,745,3140,Lilydale Primary School,63 - 65 Castella Street,O,null,Lilydale,VIC,3140,Yarra Ranges (S),63 - 65 Castella Street,121,null,876,VIC,Lilydale,Government,03 9735 1642,1,-37.75367357,145.3540681
Primary,111,3124,Camberwell Primary School,290 Camberwell Road,O,null,CAMBERWELL,VIC,3124,Boroondara (C),290 Camberwell Road,127,null,888,VIC,Camberwell,Government,03 9882 4663,1,-37.832656,145.05795
Primary,327,3059,Greenvale Primary School,12-24 Bradford Avenue,O,null,GREENVALE,VIC,3059,Hume (C),12-24 Bradford Avenue,128,null,890,VIC,Greenvale,Government,03 9333 2500,1,-37.640312,144.885933
Primary,465,3335,Rockbank Primary School,P O Box 620,O,null,MELTON,VIC,3337,Melton (C),97-105 Westcott Parade,130,null,919,VIC,Rockbank,Government,03 9747 1210,1,-37.732023,144.66214
Primary,571,3754,Doreen Primary School,75 Doctors Gully Road,O,null,DOREEN,VIC,3754,Nillumbik (S),75 Doctors Gully Road,132,null,945,VIC,Doreen,Government,03 9717 3563,1,-37.606324,145.146482
Primary,745,3775,Yarra Glen Primary School,Symonds Street,O,null,Yarra Glen,VIC,3775,Yarra Ranges (S),Symonds Street,134,null,956,VIC,Yarra Glen,Government,03 9730 1254,1,-37.64909639,145.3716153
Primary,327,3049,Westmeadows Primary School,P O Box 2282,O,null,Greenvale,VIC,3059,Hume (C),34-46 Riddell Street,137,null,982,VIC,Westmeadows,Government,03 9309 4350,1,-37.675649,144.895697
Primary,327,3429,Sunbury Primary School,P O Box 212,O,null,SUNBURY,VIC,3429,Hume (C),41 The Heights,138,null,1002,VIC,Sunbury,Government,03 9744 9744,1,-37.597687,144.728144
Primary,571,3089,Diamond Creek Primary School,17 Clyde Street,O,null,DIAMOND CREEK,VIC,3089,Nillumbik (S),17 Clyde Street,139,null,1003,VIC,Diamond Creek,Government,03 9438 1108,1,-37.67184929,145.1516539
Primary,698,3133,Vermont Primary School,Nurlendi Road,O,null,VERMONT,VIC,3133,Whitehorse (C),4-10 Nurlendi Road,142,null,1022,VIC,Vermont,Government,03 9874 2511,1,-37.837658,145.194176
Primary,111,3103,Balwyn Primary School,86B Balwyn Road,O,null,BALWYN,VIC,3103,Boroondara (C),86B Balwyn Road,144,null,1026,VIC,Balwyn,Government,03 9836 7121,1,-37.813944,145.081524
Primary,367,3179,Scoresby Primary School,11 Ingrid Street,O,null,SCORESBY,VIC,3179,Knox (C),11 Ingrid Street,145,null,1028,VIC,Scoresby,Government,03 9763 7484,1,-37.89395,145.227501
Primary,745,3139,Wandin Yallock Primary School,105 Beenak Road,O,null,WANDIN NORTH,VIC,3139,Yarra Ranges (S),105 Beenak Road,147,null,1033,VIC,Wandin North,Government,03 5964 4276,1,-37.79035398,145.4364086
Primary,745,3770,Yering Primary School,P O Box 139,O,null,Coldstream,VIC,3770,Yarra Ranges (S),22-24 Melba Highway,148,null,1034,VIC,Yering,Government,03 9739 1451,1,-37.7053494,145.3822185
Primary,327,3064,Mickleham Primary School,1880 Mickleham Road,O,null,MICKLEHAM,VIC,3064,Hume (C),1880 Mickleham Road,150,null,1051,VIC,Mickleham,Government,03 9745 2250,1,-37.563336,144.877199
Primary,413,3432,Bolinda Primary School,1 Mullalys Road,O,null,BOLINDA,VIC,3432,Macedon Ranges (S),1 Mullalys Road,153,null,1070,VIC,Bolinda,Government,03 5428 5317,1,-37.43373498,144.7454039
Primary,111,3101,Kew Primary School,Peel Street,O,null,KEW,VIC,3101,Boroondara (C),Peel Street,155,null,1075,VIC,Kew,Government,03 9853 8325,1,-37.80463,145.033156
Primary,534,3943,Sorrento Primary School,PO Box 121,O,null,SORRENTO,VIC,3943,Mornington Peninsula (S),32 Kerferd Avenue,159,null,1090,VIC,Sorrento,Government,03 5984 2130,1,-38.341789,144.740919
Primary,534,3915,Hastings Primary School,10 - 20 Hodgins Road,O,null,HASTINGS,VIC,3915,Mornington Peninsula (S),10 - 20 Hodgins Road,162,null,1098,VIC,Hastings,Government,03 5979 1517,1,-38.299463,145.189121
Primary,343,3189,Moorabbin Primary School,61 Worthing Road,O,null,MOORABBIN,VIC,3189,Kingston (C),61 Worthing Road,166,null,1111,VIC,Moorabbin,Government,03 9555 1101,1,-37.942362,145.039171
Primary,571,3759,Panton Hill Primary School,585 Kangaroo Grd-St Andrews Rd,O,null,PANTON HILL,VIC,3759,Nillumbik (S),585 Kangaroo Grd-St Andrews Rd,173,null,1134,VIC,Panton Hill,Government,03 9719 7202,1,-37.64160566,145.2395564
Primary,275,3224,Leopold Primary School,P O Box 42,O,null,LEOPOLD,VIC,3224,Greater Geelong (C),1 Kensington Road,179,null,1146,VIC,Leopold,Government,03 5250 1233,1,-38.18689,144.464536
Primary,111,3146,Glen Iris Primary School,170 Glen Iris Road,O,null,GLEN IRIS,VIC,3146,Boroondara (C),170 Glen Iris Road,181,null,1148,VIC,Glen Iris,Government,03 9885 3624,1,-37.860436,145.065883
Primary,590,3206,Albert Park Primary School,Victoria St,O,null,ALBERT PARK,VIC,3206,Port Phillip (C),Bridport Street,187,null,1181,VIC,Albert Park,Government,03 9699 9090,1,-37.841787,144.952395
Primary,311,3016,Williamstown Primary School,Cnr. Electra & Parker Street,O,null,WILLIAMSTOWN,VIC,3016,Hobsons Bay (C),Cecil Street,188,null,1183,VIC,Williamstown,Government,03 9397 1248,1,-37.863809,144.899736
Primary,534,3939,Boneo Primary School,PO Box 300,O,null,RYE,VIC,3941,Mornington Peninsula (S),582 Boneo Road,189,null,1184,VIC,Boneo,Government,03 5988 6253,1,-38.412073,144.886977
Primary,608,3225,Queenscliff Primary School,P O Box 91,O,null,QUEENSCLIFF,VIC,3225,Queenscliffe (B),Cnr Stokes & Stevens Street,190,null,1190,VIC,Queenscliff,Government,03 5258 1696,1,-38.267224,144.656211
Primary,217,3977,Skye Primary School,P O Box 8634,O,null,Carrum Downs,VIC,3201,Frankston (C),395 Ballarto Road,195,null,1222,VIC,Skye,Government,03 9786 1555,1,-38.117707,145.201245
Primary,485,3756,Upper Plenty Primary School,P O Box 496,O,null,Wallan,VIC,3756,Mitchell (S),10 Clarkes Road,198,null,1244,VIC,Upper Plenty,Government,03 5783 1358,1,-37.423711,145.057874
Primary,735,3054,Carlton North Primary School,60 LEE STREET,O,null,CARLTON NORTH,VIC,3054,Yarra (C),60 Lee Street,199,null,1252,VIC,Carlton North,Government,03 9347 4822,1,-37.791064,144.973028
Primary,745,3139,Woori Yallock Primary School,1360 Healesville Road,O,null,WOORI YALLOCK,VIC,3139,Yarra Ranges (S),1360 Healesville Road,201,null,1259,VIC,Woori Yallock,Government,03 5964 7258,1,-37.77737209,145.5326881
Primary,562,3779,Marysville Primary School,15 Falls Road,O,null,MARYSVILLE,VIC,3779,Murrindindi (S),15 Falls Road,204,null,1273,VIC,Marysville,Government,03 5963 3256,1,-37.511982,145.748939
Primary,74,3922,Cowes Primary School,P O Box 44,O,null,COWES,VIC,3922,Bass Coast (S),177 Settlement Road,207,null,1282,VIC,Cowes,Government,03 5952 2132,1,-38.456278,145.241315
Primary,66,3093,Lower Plenty Primary School,P O BOX 9,O,null,LOWER PLENTY,VIC,3093,Banyule (C),126-146 Main Road,210,null,1295,VIC,Lower Plenty,Government,03 9435 2585,1,-37.726172,145.115498
Primary,735,3068,Clifton Hill Primary School,P O Box 468,O,null,CLIFTON HILL,VIC,3068,Yarra (C),185 Gold St,217,null,1360,VIC,Clifton Hill,Government,03 9489 8333,1,-37.792308,144.989245
Primary,571,3775,Christmas Hills Primary School,1409 Eltham - Yarra Glen Road,O,null,CHRISTMAS HILLS,VIC,3775,Nillumbik (S),1409 Eltham-yarra Glen Road,218,null,1362,VIC,Christmas Hills,Government,03 9730 1238,1,-37.65393692,145.3041635
Primary,534,3930,Mount Eliza Primary School,P O Box 305,O,null,MOUNT ELIZA,VIC,3930,Mornington Peninsula (S),Wooralla Drive,221,null,1368,VIC,Mount Eliza,Government,03 9787 1385,1,-38.195467,145.09203
Primary,189,3070,Northcote Primary School,P O Box 210,O,null,NORTHCOTE,VIC,3070,Darebin (C),33 Helen Street,228,null,1401,VIC,Northcote,Government,03 9481 0009,1,-37.771758,144.99688
Primary,460,3051,North Melbourne Primary School,210 Errol St,O,null,NORTH MELBOURNE,VIC,3051,Melbourne (C),210 Errol Street,229,null,1402,VIC,North Melbourne,Government,03 9329 6902,1,-37.798613,144.950779
Primary,267,3175,Dandenong Primary School,174-182 Foster Street,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),174-182 Foster Street,230,null,1403,VIC,Dandenong,Government,03 9792 2743,1,-37.987917,145.219821
Primary,311,3016,Williamstown North Primary School,133 MELBOURNE RD,O,null,WILLIAMSTOWN NORTH,VIC,3016,Hobsons Bay (C),133 Melbourne Road,232,null,1409,VIC,Williamstown,Government,03 9397 5722,1,-37.855902,144.891757
Primary,118,3023,Cairnlea Park Primary School,49 Carmody Drive,O,null,CAIRNLEA,VIC,3023,Brimbank (C),49 Carmody Drive,239,null,1434,VIC,Cairnlea,Government,03 9363 1187,1,-37.757556,144.787257
Primary,217,3199,Frankston Primary School,Davey Street,O,null,FRANKSTON,VIC,3199,Frankston (C),Davey Street,246,null,1464,VIC,Frankston,Government,03 9783 3769,1,-38.14755735,145.1240309
Primary,485,3753,Beveridge Primary School,Arrowsmith Street,O,null,BEVERIDGE,VIC,3753,Mitchell (S),Arrowsmith Street,248,null,1476,VIC,Beveridge,Government,03 9745 2264,1,-37.472062,144.977755
Primary,590,3182,St Kilda Primary School,2B BRIGHTON ROAD,O,null,ST KILDA,VIC,3182,Port Phillip (C),2B Brighton Road,249,null,1479,VIC,St Kilda,Government,03 9534 3993,1,-37.870223,144.989019
Primary,745,3799,Warburton Primary School,P O Box 575,O,null,WARBURTON,VIC,3799,Yarra Ranges (S),16 Horners Road,251,null,1485,VIC,Warburton,Government,03 5966 2010,1,-37.75580451,145.7017044
Primary,735,3068,Fitzroy North Primary School,Fergie Street,O,null,FITZROY NORTH,VIC,3068,Yarra (C),Fergie Street,254,null,1490,VIC,Fitzroy North,Government,03 9481 5860,1,-37.78502,144.984149
Primary,189,3072,Preston Primary School,240 Tyler Street,O,null,PRESTON,VIC,3072,Darebin (C),240 Tyler Street,256,null,1494,VIC,Preston,Government,03 9470 1167,1,-37.730548,145.01031
Primary,161,3980,Tooradin Primary School,P O Box 205,O,null,TOORADIN,VIC,3980,Casey (C),Bayview Road,257,null,1503,VIC,Tooradin,Government,03 5998 3321,1,-38.207631,145.378493
Primary,111,3122,Glenferrie Primary School,78 - 98 Manningtree Road,O,null,HAWTHORN,VIC,3122,Boroondara (C),78 - 98 Manningtree Road,258,null,1508,VIC,Hawthorn,Government,03 9818 4338,1,-37.824042,145.033857
Primary,91,3186,Brighton Primary School,59 Wilson Street,O,null,BRIGHTON,VIC,3186,Bayside (C),59 Wilson Street,261,null,1542,VIC,Brighton,Government,03 9592 0177,1,-37.911753,145.002234
Primary,275,3227,Barwon Heads Primary School,PO Box 1337,O,null,BARWON HEADS,VIC,3227,Greater Geelong (C),Golf Links Road,271,null,1574,VIC,Barwon Heads,Government,03 5254 2324,1,-38.281189,144.487039
Primary,118,3036,Keilor Primary School,P O Box 110,O,null,KEILOR,VIC,3036,Brimbank (C),25 Kennedy Street,272,null,1578,VIC,Keilor,Government,03 9336 7098,1,-37.716896,144.835704
Primary,745,3775,Dixons Creek Primary School,Melba Highway,O,null,DIXONS CREEK,VIC,3775,Yarra Ranges (S),Melba Highway,275,null,1585,VIC,Dixons Creek,Government,03 5965 2282,1,-37.59234,145.413517
Primary,497,3166,Oakleigh Primary School,20 Warrigal Road,O,null,OAKLEIGH,VIC,3166,Monash (C),20 Warrigal Road,281,null,1601,VIC,Oakleigh,Government,03 9568 0558,1,-37.894474,145.088615
Primary,635,3144,Malvern Central School,Spring Road,O,null,MALVERN,VIC,3144,Stonnington (C),Spring Road,283,null,1604,VIC,Malvern,Government,03 8823 9500,1,-37.856009,145.034401
Primary,275,3222,Drysdale Primary School,P O Box 122,O,null,DRYSDALE,VIC,3222,Greater Geelong (C),52-66 Clifton Springs Rd,289,null,1645,VIC,Drysdale,Government,03 5251 2272,1,-38.169163,144.571747
Primary,413,3440,Macedon Primary School,P O Box 181,O,null,MACEDON,VIC,3440,Macedon Ranges (S),67 Smith Street,292,null,1660,VIC,Macedon,Government,03 5426 1518,1,-37.41869064,144.5626788
Primary,571,3099,Arthurs Creek Primary School,900 Arthurs Creek Rd,O,null,ARTHURS CREEK,VIC,3099,Nillumbik (S),900 Arthurs Creek Road,293,null,1666,VIC,Arthurs Creek,Government,03 9714 8204,1,-37.57900478,145.2025016
Primary,534,3941,Rye Primary School,P O Box 170,O,null,RYE,VIC,3941,Mornington Peninsula (S),Lyons St,294,null,1667,VIC,Rye,Government,03 5985 2363,1,-38.373116,144.823824
Primary,562,3711,Buxton Primary School,2208 Maroondah Highway,O,null,Buxton,VIC,3711,Murrindindi (S),2208 Maroondah Highway,295,null,1669,VIC,Buxton,Government,03 5774 7341,1,-37.421398,145.709051
Primary,161,3806,Harkaway Primary School,65-67 King Road,O,null,HARKAWAY,VIC,3806,Casey (C),65-67 King Road,299,null,1697,VIC,Harkaway,Government,03 9707 1475,1,-38.001041,145.345296
Primary,534,3926,Balnarring Primary School,P O Box 38,O,null,BALNARRING,VIC,3926,Mornington Peninsula (S),1 Civic Court,300,null,1698,VIC,Balnarring,Government,03 5931 4444,1,-38.376257,145.122985
Primary,745,3795,Silvan Primary School,P O Box 87,O,null,SILVAN,VIC,3795,Yarra Ranges (S),269 Monbulk Road,314,null,1801,VIC,Silvan,Government,03 9737 9258,1,-37.82450788,145.4224628
Primary,367,3156,Lysterfield Primary School,Bellfield Drive,O,null,LYSTERFIELD,VIC,3156,Knox (C),Bellfield Drive,321,null,1866,VIC,Lysterfield,Government,03 9752 7953,1,-37.911598,145.276229
Primary,735,3067,Abbotsford Primary School,Lithgow Street,O,null,ABBOTSFORD,VIC,3067,Yarra (C),Lithgow Street,325,null,1886,VIC,Abbotsford,Government,03 9428 5977,1,-37.808979,144.998814
Primary,635,3181,Windsor Primary School,Hornby St,O,null,WINDSOR,VIC,3181,Stonnington (C),Hornby Street,327,null,1896,VIC,Windsor,Government,03 9521 3711,1,-37.857148,144.995631
Primary,161,3804,Narre Warren North Primary School,P O Box 129,O,null,NARRE WARREN NORTH,VIC,3804,Casey (C),15-31 A'beckett Road,328,null,1901,VIC,Narre Warren North,Government,03 9796 8261,1,-37.978585,145.316923
Primary,433,3011,Footscray City Primary School,10 Hyde Street,O,null,Footscray,VIC,3011,Maribyrnong (C),10 Hyde Street,332,null,1912,VIC,Footscray,Government,03 9687 2826,1,-37.8064,144.900253
Primary,707,3082,Plenty Parklands Primary School,48 Blossom Park Drive,O,null,MILL PARK,VIC,3082,Whittlesea (C),48 Blossom Park Drive,334,null,1915,VIC,Mill Park,Government,03 9404 4311,1,-37.6697252,145.0769441
Primary,726,3211,Little River Primary School,21 Flinders Street,O,null,LITTLE RIVER,VIC,3211,Wyndham (C),21 Flinders Street,343,null,1961,VIC,Little River,Government,03 5283 1214,1,-37.965013,144.50037
Primary,707,3752,Morang South Primary School,77 Gorge Road,O,null,SOUTH MORANG,VIC,3752,Whittlesea (C),77 Gorge Road,345,null,1975,VIC,South Morang,Government,03 9404 1548,1,-37.65286941,145.0946659
Primary,534,3931,Mornington Primary School,P O Box 689,O,null,MORNINGTON,VIC,3931,Mornington Peninsula (S),Vale Street,352,null,2033,VIC,Mornington,Government,03 5976 5500,1,-38.221789,145.042867
Primary,91,3186,Brighton Beach Primary School,P O Box 9064,O,null,BRIGHTON,VIC,3186,Bayside (C),19 Windermere Crescent,357,null,2048,VIC,Brighton,Government,03 9591 0888,1,-37.922105,144.996107
Primary,571,3091,Yarrambat Primary School,"552 Yan Yean Road,",O,null,YARRAMBAT,VIC,3091,Nillumbik (S),552 Yan Yean Road,359,null,2054,VIC,Yarrambat,Government,03 9436 1464,1,-37.6409513,145.132562
Primary,66,3088,Greensborough Primary School,P O Box 225,O,null,GREENSBOROUGH,VIC,3088,Banyule (C),130 Grimshaw Street,364,null,2062,VIC,Greensborough,Government,03 9435 1496,1,-37.703911,145.099391
Primary,161,3977,Cranbourne Primary School,PO Box 26,O,null,CRANBOURNE,VIC,3977,Casey (C),Bakewell Street,366,null,2068,VIC,Cranbourne,Government,03 5996 1744,1,-38.111648,145.289018
Primary,707,3757,Whittlesea Primary School,2435 Plenty Road,O,null,WHITTLESEA,VIC,3757,Whittlesea (C),2425-2435 Plenty Road,370,null,2090,VIC,Whittlesea,Government,03 9716 2140,1,-37.51426809,145.1140469
Primary,571,3097,Kangaroo Ground Primary School,C/O Post Office,O,null,KANGAROO GROUND,VIC,3097,Nillumbik (S),Cr Graham&Eltham-Yarra Glen Rd,374,null,2105,VIC,Kangaroo Ground,Government,03 9712 0292,1,-37.691679,145.215321
Primary,83,3818,Ripplebrook Primary School,2260 Westernport Road,O,null,RIPPLEBROOK,VIC,3818,Baw Baw (S),2260 Westernport Road,378,null,2129,VIC,Ripplebrook,Government,03 5627 6278,1,-38.203495,145.758488
Primary,367,3153,Bayswater Primary School,P O Box 82,O,null,BAYSWATER,VIC,3153,Knox (C),Birch Street,382,null,2163,VIC,Bayswater,Government,03 9721 3755,1,-37.843305,145.259358
Primary,497,3170,Mulgrave Primary School,Gladeswood Drive,O,null,MULGRAVE,VIC,3170,Monash (C),Gladeswood Drive,384,null,2172,VIC,Mulgrave,Government,03 9795 2477,1,-37.932946,145.197367
Primary,562,3763,Kinglake Primary School,20 McMahons Rd,O,null,KINGLAKE,VIC,3763,Murrindindi (S),20 Mcmahons Rd,388,null,2188,VIC,Kinglake,Government,03 5786 1284,1,-37.521567,145.356638
Primary,145,3815,Bunyip Primary School,PO Box 12,O,null,BUNYIP,VIC,3815,Cardinia (S),1290 Nar Nar Goon - Longwarry Road,393,null,2229,VIC,Bunyip,Government,03 5629 5462,1,-38.09892269,145.7129321
Primary,145,3812,Nar Nar Goon Primary School,27 Spencer St,O,null,NAR NAR GOON,VIC,3812,Cardinia (S),27 Spencer Street,395,null,2248,VIC,Nar Nar Goon,Government,03 5942 5311,1,-38.08269,145.573432
Primary,745,3765,Montrose Primary School,P O Box 123,O,null,MONTROSE,VIC,3765,Yarra Ranges (S),Leith Road,397,null,2259,VIC,Montrose,Government,03 9728 2203,1,-37.808793,145.344142
Primary,534,3933,Moorooduc Primary School,Cnr.Derril Rd & M'ton Tyabb Rd,O,null,MOOROODUC,VIC,3933,Mornington Peninsula (S),Cnr Derril Rd & Mornington Tyabb Rd,406,null,2327,VIC,Moorooduc,Government,03 5978 8330,1,-38.248085,145.105166
Primary,367,3154,The Basin Primary School,P O Box 29,O,null,THE BASIN,VIC,3154,Knox (C),Cnr Liverpool Road & Mountain Highway,407,null,2329,VIC,The Basin,Government,03 9762 1143,1,-37.84951,145.308425
Primary,506,3031,Kensington Primary School,McCracken Street,O,null,KENSINGTON,VIC,3031,Moonee Valley (C),Mccracken Street,410,null,2374,VIC,Kensington,Government,03 9376 6013,1,-37.792704,144.927578
Primary,66,3079,Ivanhoe Primary School,122 WATERDALE ROAD,O,null,IVANHOE,VIC,3079,Banyule (C),122 Waterdale Road,415,null,2436,VIC,Ivanhoe,Government,03 9499 1880,1,-37.766573,145.04298
Primary,275,3223,Portarlington Primary School,100 Newcombe Street,O,null,PORTARLINGTON,VIC,3223,Greater Geelong (C),100 Newcombe Street,417,null,2455,VIC,Portarlington,Government,03 5259 2572,1,-38.115603,144.656026
Primary,745,3159,Menzies Creek Primary School,12 SCHOOL ROAD,O,null,MENZIES CREEK,VIC,3159,Yarra Ranges (S),12 School Road,418,null,2457,VIC,Menzies Creek,Government,03 9754 3695,1,-37.91774273,145.394566
Primary,590,3182,St Kilda Park Primary School,68 Fitzroy Street,O,null,ST KILDA,VIC,3182,Port Phillip (C),68 Fitzroy Street,419,null,2460,VIC,St Kilda,Government,03 8598 6444,1,-37.858154,144.978016
Primary,83,3816,Labertouche Primary School,"35 School Road,",O,null,LABERTOUCHE,VIC,3816,Baw Baw (S),35 School Road,420,null,2471,VIC,Labertouche,Government,03 5628 7503,1,-38.037672,145.804945
Primary,465,3427,Diggers Rest Primary School,Plumpton Road,O,null,DIGGERS REST,VIC,3427,Melton (C),Plumpton Road,421,null,2479,VIC,Diggers Rest,Government,03 9740 1391,1,-37.622632,144.709232
